,Title,GitHub URL,Date of Publication
0,Optimized U-Net for Brain Tumor Segmentation,https://paperswithcode.com/paper/optimized-u-net-for-brain-tumor-segmentation#code,7 Oct 2021
1,nnU-Net for Brain Tumor Segmentation,https://paperswithcode.com/paper/nnu-net-for-brain-tumor-segmentation#code,2 Nov 2020
2,3D MRI brain tumor segmentation using autoencoder regularization,https://paperswithcode.com/paper/3d-mri-brain-tumor-segmentation-using#code,27 Oct 2018
3,Brain Tumor Segmentation with Deep Neural Networks,https://paperswithcode.com/paper/brain-tumor-segmentation-with-deep-neural#code,13 May 2015
4,TransBTS: Multimodal Brain Tumor Segmentation Using Transformer,https://paperswithcode.com/paper/transbts-multimodal-brain-tumor-segmentation#code,7 Mar 2021
5,Brain Tumor Segmentation and Radiomics Survival Prediction: Contribution to the BRATS 2017 Challenge,https://paperswithcode.com/paper/brain-tumor-segmentation-and-radiomics#code,28 Feb 2018
6,The Brain Tumor Segmentation (BraTS) Challenge 2023: Focus on Pediatrics (CBTN-CONNECT-DIPGR-ASNR-MICCAI BraTS-PEDs),https://paperswithcode.com/paper/the-brain-tumor-segmentation-brats-challenge-2#code,26 May 2023
7,Swin UNETR: Swin Transformers for Semantic Segmentation of Brain Tumors in MRI Images,https://paperswithcode.com/paper/swin-unetr-swin-transformers-for-semantic#code,4 Jan 2022
8,3D Dilated Multi-Fiber Network for Real-time Brain Tumor Segmentation in MRI,https://paperswithcode.com/paper/3d-dilated-multi-fiber-network-for-real-time#code,6 Apr 2019
9,Multi-step Cascaded Networks for Brain Tumor Segmentation,https://paperswithcode.com/paper/multi-step-cascaded-networks-for-brain-tumor#code,16 Aug 2019
10,RCS-YOLO: A Fast and High-Accuracy Object Detector for Brain Tumor Detection,https://paperswithcode.com/paper/rcs-yolo-a-fast-and-high-accuracy-object#code,31 Jul 2023
11,3D U-Net Based Brain Tumor Segmentation and Survival Days Prediction,https://paperswithcode.com/paper/brain-wise-tumor-segmentation-and-patient#code,15 Sep 2019
12,Knowledge Distillation for Brain Tumor Segmentation,https://paperswithcode.com/paper/knowledge-distillation-for-brain-tumor#code,10 Feb 2020
13,BGF-YOLO: Enhanced YOLOv8 with Multiscale Attentional Feature Fusion for Brain Tumor Detection,https://paperswithcode.com/paper/bgf-yolo-enhanced-yolov8-with-multiscale#code,22 Sep 2023
14,Brain Tumor Segmentation and Tractographic Feature Extraction from Structural MR Images for Overall Survival Prediction,https://paperswithcode.com/paper/brain-tumor-segmentation-and-tractographic#code,20 Jul 2018
15,TBraTS: Trusted Brain Tumor Segmentation,https://paperswithcode.com/paper/tbrats-trusted-brain-tumor-segmentation#code,19 Jun 2022
16,"Generalized Wasserstein Dice Score, Distributionally Robust Deep Learning, and Ranger for brain tumor segmentation: BraTS 2020 challenge",https://paperswithcode.com/paper/generalized-wasserstein-dice-score#code,3 Nov 2020
17,"Brain tumor segmentation with self-ensembled, deeply-supervised 3D U-net neural networks: a BraTS 2020 challenge solution",https://paperswithcode.com/paper/top-10-brats-2020-challenge-solution-brain#code,30 Oct 2020
18,Automatic Brain Tumor Segmentation using Cascaded Anisotropic Convolutional Neural Networks,https://paperswithcode.com/paper/automatic-brain-tumor-segmentation-using-1#code,1 Sep 2017
